Store type,Store Name,Address,City,State ,Zip Code ,County ,Phone,Email,Website,Description,Latitude,Longitude
Vending Machine ,Refreshing USA,"2732 Grand Ave, Ste 122.Everett,WA 98201 Washington, 98201",Everett,WA,98201,King,0800.655.8363,info@refreshingusa.com ,https://www.refreshingusa.com/contact,"The Refreshing USA carries a full line of best vending machines and equipment for your convenience, and we can even tailor a brand-appropriate display to fit your needs.",47.98134,-122.21356
Storage Service,Portabox Storage ,"2902B Lincoln Way,Lynnwood, WA 98087",Lynnwood,WA,98087,King,888.269.8646,,https://www.portabox.com/,,47.87202,-122.2727
,Big E Auto Rebuild ,,,,,,,,,,,
,"Sound Auto Detailing, LLC",,,,,,,,,,,
,"Titus- Will Ford, Toyota, Scion",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
