Category,Company Name,Address,City,State ,Zip Code ,County ,First Name ,Last Name ,Phone,Email,Website,Latitude,Longitude,Public Business Entity Y/N,Non Profit  Y/N,Profile of Service  Description
Community Organization,Not This Time,Virtual,Seattle,WA,,King,Andre,Taylor,,andreltaylor@yahoo.com,https://www.facebook.com/NotThisTimeAction/about/?ref=page_internal,,,N,Y,"NOT THIS TIME! engages with local community members, the families of those who have lost their loved ones to police shootings, and those who work inside the system, to demand more police accountability and safer communities."
Community Organization,You Grow Girl!,"2200 Rainier Ave S, Suite 201, Seattle, WA 98144",Seattle,WA,98144,King,,,206.417.9904,office@yougrowgirl.com,https://www.yougrowgirl.org/,47.583480,-122.301690,N,Y,"You Grow Girl! is a nonprofit organization serving female-identifying youth and families throughout Washington state. You Grow Girl works toward a vision to create a safe forum for girls in the foster care system to tackle their fears and insecurities, build self-confidence and be surrounded by peers and adults who are supportive."
Farm,Nurturing Roots," 6218 Beacon Ave S, Seattle, WA 98108",Seattle,WA,98108,King,Nyema,Clark,206.880.0971,nurturingrootsinfo@gmail.com,https://www.nurturingrootsfarm.org/,47.547180,-122.299370,N,Y,Nurturing Roots is a community farming program focused on educating youth & community members on healthy food choices. Creating community through gardening. 
Community Organization,Northwest African American Museum (NAAM),"2300 S Massachusetts St, Seattle, WA 98144",Seattle,WA,98144,King,LaNesha,DeBardelaben, 206-518-6000,info@naamnw.org,https://www.naamnw.org/,47.588930,-122.301870,N,Y,"NAAM’s mission is to spread knowledge, understanding, and enjoyment of the histories, arts and cultures of people of African descent for the enrichment of all through exhibitions, programs and events."
Government Organization,WA State Commission African American Affairs,"1110 Capitol Way S. Suite 220,Olympia, WA 98504",Olympia,WA,98504,Pierce,Ed ,Prince,360-725-5664,Ed.Prince@caaa.wa.gov,https://caaa.wa.gov/,47.037630,-122.900230,N,N,"The role of the Commission on African American Affairs is to examine and define issues pertaining to the rights and needs of African-Americans and make recommendations to the Governor, the Legislature and state agencies for changes in state programs and laws. "
Community Organization,Africatown Community Land Trust ,"1437 S Jackson Street, Suite 100 Seattle, WA 98144",Seattle,WA,98144,King,N/A,N/A,206-596-2896,admin@africatownlandtrust.org,https://www.africatownlandtrust.org/about-us/,47.598990,-122.312020,,,Africatown Community Land Trust is working for community ownership of land in the Central District that can support the cultural and economic thriving of people who are part of the African diaspora in the Greater Seattle region.
Community Council,West African Community Council,"6322 44th Ave S. Seattle, WA 98118",Seattle,WA,98118,King,Issa ,Ndiaye,206.636.9882,info@waccofseattle.org,https://waccofseattle.org/,47.545300,-122.277810,,,West African Community Council was founded to support the West African refugee and immigrant community in King County
Community Council,West African Community Council,"19435 68th Ave S ste s-105 Kent, WA 98032",Kent,WA,98032,King,Issa ,Ndiaye,206.636.9882 ,info@waccofseattle.org,https://waccofseattle.org/contact/,47.427400,-122.249900,,,West African Community Council was founded to support the West African refugee and immigrant community in King County
Photographer,Captured by Candace Photography,"Shelter 1, 5900 Lake Washington Blvd S, Seattle, WA 98118",Seattle,WA,98118,King,Candace,,925.391.0897,hellocandace@cbcimages.com,https://www.capturedbycandacephoto.com/,47.574080,-122.281050,,,"Candace is a Seattle wedding and lifestyle photographer who loves capturing pure, organic moments and memories."
Graphic Design ,"Creative Devsv, LLC","6904 4th Ave Ne, Shoreline, WA 98155",Shorline,WA,98155,King,,,206.457.2918,order@creativedevs.com,https://creativedevs.com/,47.751290,-122.325220,,,"Creative Devsv is a Black woman owned, Graphic Design and Web/App Development Agency for a world centered on social equity. They provide services primarily for BIPOC (Black, Indigenous, People of Color) led organizations with a Social focus and an underrepresented client base. "
Attorney,Damisi Velasquez Attorney at Law ,"1700 7th Avenue, Suite 2100, Seattle, WA 98101",Seattle,WA,98101,King,Damisi ,Velasquez,206.299.3073,damisi@the206lawyer.com,https://the206lawyer.com/,47.613970,-122.335200,,,
Cleaning Service ,Downtown House Cleaning ,"126 Harvard Avenue East
Seattle, WA 98102",Seattle,WA,98102,King,Christian,,206.466.6356,christian@downtownhousecleaning.com,http://www.downtownhousecleaning.com/,47.619570,-122.321930,,,"Downtown House Cleaning uses environmentally safe cleaning agents to provide quality and reliable housecleaning services for the Downtown Seattle area. With cleaning packages specifically tailored to accommodate your need, we are the best choice for your busy urban lifestyle."
Community Organization,Earth Pearl Collective,"498-438 James St, Seattle, WA 98104",Seattle,WA,98104,King,Sadiqua ,Iman,,earthpearlcollective@gmail.com,https://www.earthpearlcollective.com/home,47.603640,-122.329390,N,Y,Earth Pearl Collective supports the work of women living at the intersections of the African Diaspora who are dedicated to healing their communities through creative collaborations.
Photographer,"Emazing Photography,LLC","114 Alaskan Way S, Seattle, WA 98104",Seattle,WA,98104,King,,,206.747.3509,erica@emazingphotography.com,http://www.emazingphotography.com/,47.601210,-122.335240,,,
Graphic Design ,Enjoli Izidor Design,"89 Yesler Way, #302, Seattle, Washington, 98104",Seattle,WA,98104,King,Enjoli ,Izidor,(206) 489-2623,enjoli.izidor@gmail.com,https://www.enjoliizidor.com/,47.601590,-122.334750,,,
Bookshop,Estelita's Library,"2533 16th Ave S. Seattle, Washington 98144",Seattle,WA,98144,King,,,415.342.9009,estelitaslibrary@gmail.com,https://estelitaslibrary.com/,47.579990,-122.312200,,,"Estelita’s Library will be a curated community bookstore and Library with books focused on social justice, ethnic studies, and liberation movements."
Cleaning Service ,Executive Cleaning LLC,3642 33rd Ave S Seattle WA 98144,Seattle,WA,98144,King,,,206.637.0029,executivecleaningsea@gmail.com,https://www.eclsea.com/,47.570570,-122.290480,,,Family owned company with over 25 years of experience. We take pride in satisfactory services while using Eco-Friendly products.
Electronics Store,Gadget Rehab,"3511 NE 45th St, Seattle, WA 98105 ",Seattle,WA,98105 ,King,,,206.466.4033,sales@gadgetrehab.com,https://gadgetrehab.repair/,47.661090,-122.289340,,,"Fast, Affordable Tablet, Laptop, Game Console and Cell Phone Repair."
Mental Health Service,Ghetto Heaven,"1700 Westlake Ave N, Ste 200, Seattle, WA 98109",Seattle,WA,98109,King,,,248.497.1248,ourghettoheaven@gmail.com,https://www.facebook.com/pg/OurGhettoHeaven,47.633970,-122.339870,,,"A collective composed of queer spiritual healers, community activators, and creatives. We create spaces that center BIPOCs, creators, dreamers, freak, geeks, queer folks, our fellow community organizers, and most importantly OUR GAWD**N ANCESTORS!!"
Accountant ,Gresham Financial ,"1700 Westlake Ave N Ste 200 Seattle,WA 98109",Seattle,WA,98109,King,Isaiah T.,Gresham,206.350.9448,isaiah@greshamtaxes.com,https://www.seattleaccountingfirm.com/,47.633970,-122.339870,,,
Home Mover ,HiveBoxx ," 915 S 96th St Suite A8 in Seattle, Washington 98108",Seattle,WA,98108,King,,,425.650.1600,,https://www.hiveboxx.com/,47.447540,-122.333280,,,
Pet Care Provider ,Jake N Friends Pet Serivces,"2121 E Union St Seattle, WA 98122",Seattle,WA,98122,King,Mike,,206.538.0202,Mike@jakenfriends.com,http://www.jakenfriends.com/,47.612750,-122.303880,,,
Law Firm,Kreider Hughes Law,"511 Greenwood Ave. N. #4125, Seattle, WA 98103",Seattle,WA,98103,King,Patrice M.,Kreider-Hughes,206.457.2610,info@kreiderhugheslaw.com,https://www.kreiderhugheslaw.com/,47.656510,-122.355500,,,
Superior Yacht and Boat Detailing,The Mobile Boat Guys ,"22977-22901 100th Ave W, Edmonds, WA 98020",Edmonds,WA,98020,King,,,206.355.5678,contact@mobileboatguy.com,https://www.mobileboatguys.com/,47.790510,-122.366680,N,N,"At Mobile Boat Guy, we specialize in luxury yacht detailing, restoration, and minor repairs"
Alteration Service ,Our Fabric Stash,"1501 Pike Place Ste 326, Seattle,WA 98101",Seattle,WA,98101,King,,,206.257.4623,stashaholics@ourfabricstash.com,https://ourfabricstash.com/,47.608680,-122.341060,N,N,"Our Fabric Stash, an innovative, eco-friendly fabric consignment shop, designed for Today's STASH-aHOLic!"
Shipping Center,The Postman,"1143 Martin Luther King Junior Way, Seattle, Washington 98122",Seattle,WA,98122,King,,,206.257.4623,,https://thepostmanseattle.com/,47.612670,-122.296370,N,N,
Communiity Events,QTPOC Seattle Collective,Virtual,Seattle,WA,,King,,,,,https://www.facebook.com/qtpocseattlecollective/,,,N,N,"QTPOC Seattle creates a warm, welcoming space to center the needs and experiences of Queer and Trans People of Color in Seattle.This space was created out of necessity."
Newspaper,The Seattle Medium ,"2600 S Jackson St Seattle, WA 98144",Seattle,WA,98144,King,,,206.323.3070,info@seattlemedium.com,https://seattlemedium.com/,47.599430,-122.298420,N,N,The Seattle Medium is the largest African American owned and operated weekly newspaper in the Pacific Northwest.
Tattoo Studio,Supergenius Tattoo,"1419 10th Ave Seattle, WA 98122",Seattle,WA,98122,King,,,206.322.1630,supergeniustattoo@seattle-tattoos.com,http://www.seattle-tattoos.com/,47.613620,-122.319630,N,N,
Notary,Moore Insurance & Financial Services ,"7406-27th W Suite 2 Univeristy Place, Seattle,  WA 98466",Seattle,WA,98466,King,,,253.650.1006,s.moore@pacificcrestinsurance.com,http://www.mooreinsuranceandfinancialservices.com/,47.234870,-122.535470,N,N,
Printing Service ,United Reprographics,"1515 Central Ave. South, Kent, WA",Seattle,WA,98032,King,,,206.382.1177,csr@unitedpsg.com,https://www.unitedreprographics.com/,47.366020,-122.229990,N,N,"Small and large format printing, custom signs and graphic design/installation services. Traditional reprographics services also offered. Locally-owned, minority-owned and community minded, serving Seattle since 1999."
Media/News,Women.Weed.Wifi,Virtual,Seattle,WA,,King,,,,high@womenweedwifi.com,http://www.womenweedwifi.com/,,,N,N,Women.Weed.WiFi is a Pacific Northwest collective of girl bosses dedicated to legal marijuana and a creative lifestyle.
Doula,BLKBRY Doula,"155 SW 152nd St Ste A, Burien, WA 98166",Burien,WA,98166,King,,,,,https://blkbry.com/,47.466620,-122.336290,,,
Spa,City Sweats,"1928 43rd Ave E, Seattle, WA 98112",Seattle,WA,98112,King,,,206.462.2459,hereforyou@citysweatsseattle.org,http://citysweats.com/,47.636830,-122.276740,,,
Fitness Center,Columbia City Fitness Center,"4525 Rainier Avenue South Seattle, WA 98118",Seattle,WA,98118,King,,,206.725.7894,info@columbiacityfitness.com,https://www.columbiacityfitness.com/,47.562150,-122.288030,,,
Alternative & Holistic Health,Down to Reiki,"3400 Harbor Ave SW # 322 Seattle, WA 98126",Seattle,WA,98126,King,,,206.669.7268,vibe@downtoreiki.com,https://downtoreiki.com/,47.572710,-122.370420,,,
,The Hoodwitch,Web-Store ,Seattle,WA,,King,,,,,http://www.thehoodwitch.com/,,,,,
Massage Service,Indigo Movement,"3250 Airport Way South, Suite 322, Seattle, WA 98134 ",Seattle,WA,,King,,,206-295-1136﻿,info@indigomovement.com,http://www.indigomovement.com/,47.574250,-122.321370,,,
Gym & Fitness,iNfinity Well,,Seattle,WA,,King,,,206-596-5980,help@liveinfinitelywell.com,https://www.liveinfinitelywell.com/,,,,,
Birth Doula,Mahogany Point,Virtual,Seattle,WA,,King,Tiffany ,Renee,, tiffanyrenee@mahoganypoint.com,https://www.mahoganypoint.com/,,,,,
Fitness Trainer,Project 968,"4617 37th Ave SW Seattle, WA 98126",Seattle,WA,98126,King,,,,info@project968.com,https://www.project968.com/,47.561520,-122.379170,,,
Physical Therapy,Renew Physical Therapy,"5620 Rainier Ave S Ste 102 Seattle, WA 98118",Seattle,WA,98118,King,,,206.535.8061,frontdesk@renew-physicaltherapy.com,https://renew-physicaltherapy.com/,47.551380,-122.277450,,,
Gym & Fitness,The Ride,"112 E. Lynn Street, WA 98102",Seattle,WA,98102,King,,,206.453.3518,info@therideseattle.com,https://www.therideseattle.com/,47.639860,-122.326420,,,
Gym & Fitness,Rival Fitness,"510 E Pine St Seattle, WA 98122",Seattle,WA,98122,King,,,206.257.1507,info@rivalfitnessseattle.com,http://www.rivalfitnessseattle.com/,47.615430,-122.324810,,,"Founded in 2013, Rival Fitness is Capitol Hill’s highest-rated neighborhood gym.High-intensity group fitness classes including Indo-Row, TRX, Triple Threat, Tabata, cycling, and more. Certified personal trainers. Small group training with our Rival FIT Squads. A full spectrum of top of the line Technogym and functional training equipment to workout your way."
Yoga Studio,Soulful Flow Yoga,Virtual,Seattle,WA,,King,,,,hello@soulfulflowyoga.com,"
http://www.soulfulflowyoga.com/",,,,,"Soulful Flow Yoga (SFY) offers accessible and inclusive yoga and mindfulness practices for youth and adults.
We aim to cultivate an inclusive space and provide healing tools through movement, meditation, and music"
Gym & Fitness,Stretch 22,"1913 2nd Ave, Seattle WA 98101",Seattle,WA,98101,King,,,206.441.4143,info@stretch22.com,https://stretch22.com/,47.611200,-122.340980,,,"Seattle founded one-on-one assisted stretching studios that make you move better, feel better, and be better."
Yoga Studio,Trap Vinyasa ,"4546 1/2 California Avenue Southwest Seattle, WA, 98116",Seattle,WA,98116,King,,,,trapvinyasatrapyasa@gmail.com,https://www.trapvinyasa.com/,47.561480,-122.386380,,,
Doula,Vanessa's Butterly Birth,Virtual,Seattle,WA,,King,,,253.217.7035,vanessasbutterflybirth@gmail.com,https://www.vanessasbutterflybirth.com/,,,,,"Vanessa is a non-binary woman who is a Student-Midwife, Doula, NAR, Rootworker, Sacred Healing Circle Keeper, Black Infant Health Minister, Community Health Worker, Lactation Peer Counselor, HypnoBirthing Childbirth Educator, Placenta Encapsulator, and Birth Photographer in Pierce County, Washington"
Hair Salon,Bruja Salon,"6512 Phinney Ave N Seattle, WA 98103",Seattle,WA,98103,King,,,206.395.8231,tisha@brujasalon.com,https://www.brujasalon.com/,47.676450,-122.354010,,,"We are curly and kinky hair specialists, and we offer the full range of hair services from cuts to high fashion color. We use and sell Kevin Murphy, Deva Curl and Skin Authority products to fully reveal your beautiful self."
Make up Artist ,Burton Beauty,"401 Olympia Ave Ne Ste 310 Ste 310, Renton, WA 98056",Renton,WA,98056,King,,,206.745.2383 ,burtonbeautyartistry@gmail.com ,https://www.burtonbeauty.com/,47.489130,-122.172280,,,
Hair Salon,Coven Salon,"2719 Madison Ave E Ste E Seattle, WA 98112",Seattle,WA,98112,King,,,206.323.9010,info@covensalon.com,http://www.covensalon.com/,47.634670,-122.279710,,,"Coven is a creative salon in the Madison Valley neighborhood of Seattle. We are a collective that seeks to inspire and celebrate all beings, no matter their philosophies. Coven is comfort and luxury, but overall, community. We are always looking for new members to join the Coven."
Barber,Ealr's Cuts & Styles,"2320 East Union Seattle, WA. 98122",Seattle,WA,98112,King,,,206.322.2687,masterbarberearl@yahoo.com,https://earlscutsandstyles.com/,47.613120,-122.301790,,,"Since 1992, Earl's Cuts and Styles has earned a reputation for providing the most professional barbering services and quality customer service in the pacific northwest. Located in the Central District of Seattle simply known as Earl's by seattleites conti"
Hair Salon,Good Hair Salon,"1918 E Yesler Way #C Seattle,WA 98122",Seattle,WA,98122,King,,,206.709.7699, info@goodhairsalon.com,http://goodhairsalon.com/,47.601930,-122.306740,,,Good Hair Salon is an amazing destination for your Natural Beauty needs nestled in the heart of Seattle's historic Central District.
Hair Salon,In Bloom Salon & Beauty Boutique,"101 Cherry St. Seattle, WA 98104",Seattle,WA,98104,King,,,206.682.7768,info@inbloom101.com,https://www.inbloom101.com/,47.602530,-122.333860,,,
Traveling Nail Tech,Laced by Liv,"3250 Airport Way South Suite 533, Seattle, WA 98134",Seattle,WA,98134,King,,,,,https://www.styleseat.com/m/v/lacednails2019,47.574250,-122.321370,,,
Barber,The Louging Barber,"1123 34th Ave. Seattle, WA 98122",Seattle,WA,98122,King,,,206.437.0869,info@theloungingbarber.com,https://www.theloungingbarber.com/,47.612390,-122.289510,,,
Hair Salon,Mr. Naturalz Salon,"334 Wells Ave S, Suite D Renton, WA 98057",Renton,WA,98057,King,,,425.272.6579,mrnaturalzsalon@gmail.com,https://www.mrnaturalz.com/,47.478420,-122.205100,,,"Mr. Naturalz Salon caters to curly, kinky, and loc’d textures of hair. We specialize in maintaining healthy, natural textures, along with other services."
Hair Salon,MzTwist Artistry Studio," 11707 Rainier Ave So A. Seattle, WA 98178",Seattle,WA,98178,King,,,206.294.5706,,https://www.mztwistartistrystudio.biz/,47.498070,-122.220370,,,
Hair Salon,Platinum Cuts & Salon,"9434 Delridge Way SW. Ste A Seattle, WA 98106",Seattle,WA,98106,King,,,206.762.2255,,https://www.facebook.com/Platinum-Cuts-Salon-175724072451316/,47.518280,-122.355550,,,
Skin Care,QueenCare,"3702 S. udson St Suite 103 Seattle, WA 98118",Seattle,WA,98118,King,,,425.200.4027,support@queencareproducts.com,https://www.queencareproducts.com/,47.570740,-122.285400,,,"QueenCare products were designed with thoughts of how to best serve our skin while utilizing aromatherapy to heal and uplift our mood. Each handcrafted product is infused with good energy, love and natural ingredients that will leave your body feeling luxurious!"
Nail Studio,ShaiLadon Extensions,,Seattle,WA,,King,,,206.468.9144,,https://www.shailadonextensions.com/,,,,,​
Hair Salon,Vasuda Salon,"12317 15th Ave NE Unit 106 Seattle, WA 98125",Seattle,WA,98125,King,,,206.525.0870,owner@vasudasalon.com,https://www.vasudasalon.com/,47.718260,-122.313060,,,"Vasuda Salon offers a wide range of hair services to professional women, men, and families. For all hair types, hair challenges, and backgrounds."
Hair Salon,Get Beautied Salon ,"1805 136th Pl NE #206,, Bellevue, WA 98005",Bellevue,WA,98005,King,,,206.372.6950,getbeautied@gmail.com,https://www.facebook.com/getbeautiedsalon/,47.626450,-122.158500,,,
Doula ,The Perfect Push,"16150 NE 85th St, Redmond, WA 98052",Redmond,WA,98052,King,,,206.909.1063,hello@theperfectpush.com,https://www.theperfectpush.com/,47.678940,-122.124400,,,
Gym & Fitness,Maya Whole Health Studio," 1322 Lake Washington Boulevard N. Ste. 3, Renton, WA 98056",Renton,WA,98056,King,,,425.271.0200,studio@mayawholehealth.com,http://www.mayawholehealth.com/,47.504240,-122.198760,,,
Beauty Studio,Shador Studio of Esthetics,"405 S 4th St. Renton, WA 98057",Renton,WA,98057,King,,,206.535.6241,,http://shadorstudio.com/,47.478040,-122.211670,,,
Law Firm,Law Offices of Alesha Struthers,"14900 Interurban Ave S, Suite 295 Tukwila, WA 98168",Seattle,WA,98168,King,,,800.972.0411,,https://www.strutherslawoffice.com/,47.469030,-122.252440,,,
Community Organization,Urban league of Metroplitan Seattle,"105 14th Ave, Ste 200, Seattle, WA 98122",Seattle,WA,98122,King,,,206.461.3792,Contact@urbanleague.org,https://give.idonate.com/urban-league-of-metropolitan-seattle/ulms-donation-main#donate,47.601920,-122.314380,,,
Community Organization,Seattle Urban League Young Professionals,"105 14th Ave, Seattle, WA 98122",Seattle,WA,98122,King,,,206.461.3792,info@ulmsyp.org,https://ulmsyp.org/donate,47.601920,-122.314380,,,
Community Organization,The Black Heritage Society of Washington State,"5933 6th Ave S Seattle, WA 98108",Seattle,WA,98108,King,,,206.3234.1126,blackheritagesocietywa@gmail.com,https://www.bhswa.org/wordpress/get-involved/donations/,47.549740,-122.327360,,,
Community Organization,Horn of Africa Services,"5303 Rainier Ave S Seattle, WA 98118",Seattle,WA,98118,King,,,206.760.0550,volunteer@hoas.org,http://hoas.org/,47.553540,-122.280370,,,
Community Organization,Jack and Jill of America Seattle/Tacoma,,Seattle,WA,,King,,,,,https://www.jackandjilltacoma.org/,,,,,
Community Organization,Black Lives Matter at  School:,,Seattle,WA,,King,,,,,https://www.seattleschild.com/support-these-local-black-owned-businesses-non-profits-and-help-make-change/.blacklivesmatteratschool.com,,,,,
Community Organization,African Youth Coalition,"3025 Ne 137th St Apt 302, Seattle, WA 98125",Seattle,WA,98125,King,,,206.661.0255,africanyouthcoalitionhq@gmail.com,https://www.africanyouthcoalitionhq.com/,47.727430,-122.295360,,,
Community Organization,Mother Africa,"1209 Central Ave S #120, Kent, WA 98032",Kent,WA,98032,King,,,253.277.7625,,https://www.motherafrica.org/,47.368610,-122.231450,,,
Community Organization,GirlTrek Seattle,,Seattle,WA,,King,,,202.808.8419,info@girltrek.org,https://www.girltrek.org/our_mission,,,,,
,Langston Hughes Performing Arts Institute,,Seattle,WA,,King,,,,,https://www.langstonseattle.org/donate/,,,,,
Community Organization,iUrban Teen Seattle,,Seattle,WA,,King,,,206.919.1756,,https://iurbanteen.org/locations/seattle/,,,,,
Community Organization,The BLM Seattle Freedom ,,Seattle,WA,,King,,,,,https://blacklivesseattle.org/bail-fund/,,,,,
Driving School,Gear U Up Driving School,"15332 Highway 99, Ste 9, Lynnwood, WA 98087",Lynwood,WA,98087,King,,,206.271.8444,,https://www.facebook.com/pages/category/Driving-School/Gear-U-Up-Driving-School-147816761973728/,47.859260,-122.287010,,,
Urban Farm,Black Farmers Collecgive,"727 Yesler Way, Seattle, WA 98104",Seattle,WA,98104,King,,,,,,47.601650,-122.322860,,,"We envision Black liberation through food sovereignty, in spaces built on cooperation and interconnectedness with the environment and the community, where our knowledge and creativity are boundless."
Community Organization,Young women empowered,"2524 16th Ave S, Seattle, WA 98144",Seattle,WA,,King,,,,,info@y-we.org,47.580220,-122.311450,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.youngwomenempowered.org%2F%3Ffbclid%3DIwAR2q547lExFST1IsFwEnDkYSZcgFqZyNSseGaPFm4ZyTt81qT-De4sQvtQ0&h=AT2Z7lWWOW5WhYdAQ1-qX9pfjI_47eWxW-TaP3cYlJYLhqQtRDR7uPvZEVAHX6w227sCUCPuqnl_bd5xFw3PEAgBve357pez3Qr5vsABcFarYoKAMo3IssDXcgvA1dHVB6w,,Young Women Empowered is a youth serving organization that provides mentorship and empowerment programs for teenage girls in the Pacific Northwest.
Community Organization,Families of Color Seattle,,Seattle,WA,,King,,,206.317.4642,info@focseattle.org ,FOCS - Families of Color Seattle (focseattle.org),,,,,"Families of Color Seattle (FOCS) is a non-profit organization that is connecting parents to build a loving community of families of color. Founded in 2013, FOCS is led by mothers of color."
Clinical Social Work/Theraoist LICSW,Ashley McGirt Counseling Services LLC,"4501 15th ave S
Suite 102
Seattle, WA 98108",Seattle,WA,,King,,,253.951.9990,ashley@ashleymcgirt.com,Ashley McGirt-Adair | LICSW | Therapist,47.563380,-122.313920,,,
"Counselor, MA, LMHCA",The Painting Panda Pottery Studio,"440 E. 25th St. # 63, Tacoma, WA 98421",Tacoma,WA,98421,King,Alexis Kimball,,425.243.1418,alexis@alexiskimball.com,Alexis Kimball Counseling & Coaching,47.239720,-122.426570,,,
Spa,Spa Nubia by Royal Nubian,"11702 15th Ave NE, Seattle, WA 98125",Seattle,WA,98125,King,,,,,,,,,,
Barber,Chop it Up Barbershop ,"12005 NE 12th St #27, Bellevue, WA 98005",Bellevue,WA,98005,King,,,855.800.2482,,,47.619900,-122.178350,,,
Hair Salon,Anointed Hands Hair Spot ,"17711 Hwy 99 Suite A, Lynnwood, WA 98037",Lynwood,WA,98037,King,,,253.258.2128,,,47.837830,-122.300140,,,
Therapist ,Mommy and Me Therapeutic Services. PLLC,"406 Main St #117, Edmonds, WA 98020",Edmonds,WA,98020,King,,,206.755.7908,,,47.810960,-122.378570,,,
Photographer,Ike & Tash Photography + Motion,"1214 S Yakima Ave #A, Tacoma, WA 98405",Tacoma,WA,98405,King,,,253.256.2140,,,47.250830,-122.447480,,,
Movers,Hansen Bros.Moving & Storage,"2902 Lincoln Way, Lynnwood, WA 98087",Lynwood,WA,98087,King,,,425.776.0176,,,47.872020,-122.272700,,,
,Royaltee Media Group,,Seattle,WA,,King,,,,,,,,,,
,Moore Insurance & Financial Services ,,Seattle,WA,,King,,,,,,,,,,
Food art gallery,FOODArt,"420 13th Ave E, Seattle, WA 98102",Seattle,WA,98102,King,,,https://foodartllc.com/#bob,,,47.622620,-122.315390,,,
Religious Organization,Metropolitan Community Church (MCC) Seattle,"1414 NE 42nd St #202, Seattle, WA 98105",Seattle,WA,98105,King,,,206.325.2421,pastor@mccseattle.org,http://www.mccseattle.org/,47.658610,-122.312390,,,
Religious Organization,New Light Christian Church,"4620 S Findlay St, Seattle, WA 98118",Seattle,WA,98118,King,,,206.329.7090,,http://www.newlightchurch.org/,47.552120,-122.274480,,,
Religious Organization,Sanctuary Church Seattle,"2323 E Cherry St, Seattle, WA 98122",Seattle,WA,98122,King,,,206.227.4593,,http://sanctuaryseattle.org/,47.607760,-122.302250,,,
Religious Organization,Roots Community Church Seattle,"9412 15th Ave NE, Seattle, WA 98115",Seattle,WA,98115,King,,,503.489.8941,,http://www.rootscc.com/,47.697160,-122.311500,,,
Religious Organization,Roots Church ,"10300 28th Ave SW, Seattle, WA 98146",Seattle,WA,98146,King,,,206.932.0186,,http://www.rootsnw.org/,47.510690,-122.367680,,,
Religious Organization,Faith Bible Church,"128 18th Ave, Seattle, WA 98122",Seattle,WA,98122,King,,,206.322.8044,,http://fbcseattle.org/,47.602520,-122.308650,,,
