Cuisine/Shop type,Buisness Name,Address,City,State ,Zip Code ,County ,Phone,Email,Website,Description,Latitude,Longitude
Ethiopian,Ahadu Ehtiopian Restaurant,"1508 NE 117th St Seattle, WA 98125",Seattle,WA,98125,King,206.440.3399,contact@myahadu.com,https://www.ahaduethiopianrestaurant.com/,,47.550590,-122.277610
Eritrean & Ehtiopian,Amy's Merkato ,"5719 Rainier Ave S Seattle, WA 98118",Seattle,WA,98118,King, 206.324.2527,,https://amyscafeseattle.com/,,47.490650,-122.239860
Soul Food,Angel City Deli ,"12621 Renton Ave S #C, Seattle, WA 98178",Seattle,WA,98178,King,206.772.2223,angelcitydeli@mail.com,https://www.angelcitydeli.com/,,47.563560,-122.288410
Eritrean & Ehtiopian,Bana Ehtiopian and Eritrean Restaurant ,"4423 Rainier Ave S Seattle, WA 98118",Seattle,WA,98118,King,206.723.3587,,https://banaethiopiananderitreanrestaurant.business.site/,,47.562010,-122.293640
Mediterranean,Bananas Grill ,"4556 Martin Luther King Jr Way S Seattle, WA 98108",Seattle,WA,98108,King,206.420.4839,bananasgrillseattle@gmail.com,https://www.facebook.com/Bananas-Grill-153177451394966/,,47.599480,-122.303060
Ethiopian,Chef Café ,"2200 S Jackson St, Seattle, WA 98144",Seattle,WA,98144,King,206.568.2681,,,,47.553260,-122.278920
Japanese,City Teriyaki,"5400 Rainier Ave S. Seattle, Wa 98118",Seattle,WA,98118,King,206.723.2489,info@cityteriyaki.com,https://cityteriyaki.com/,,47.609750,-122.341430
French,Café Camagne," 1600 Post Aly. Seattle, WA 98101",Seattle,WA,98101,King,206.728.2233,edavid@cafecampagne.com,https://cafecampagne.com/,,47.574220,-122.297350
Ethiopian,Café Ibex,"3219 Martin Luther King Jr Way S Seattle, WA 98144",Seattle,WA,98144,King,206.721.7537,,https://www.facebook.com/ibexseattle.cuisine/,,47.607810,-122.297110
Ethiopian,Café Selam ,"2715 E Cherry St. Ste B Seattle, WA 98122",Seattle,WA,98122,King,206.3280404,,https://www.cafeselam.com/,,47.613110,-122.289090
Coffee Shop,Café Soleil,"1400 34th Ave, Seattle, WA 98122",Seattle,WA,98122,King,206.325.1126,,https://www.restaurantji.com/wa/seattle/cafe-soleil-/,,47.496900,-122.247590
Seafood,Catfish Corner Express,"11805 Renton Ave South, Seattle, WA 98178",Seattle,WA,98178,King,206.735.7084,onecatfishcorner@gmail.com,https://www.catfish-corner.com/,,47.607860,-122.299470
Juice Bar,Central Café and Juice Bar,"2509 E Cherry St, Seattle, WA 98122",Seattle,WA,98122,King,206.538.0380,,https://www.centralcafeseattle.com/,,47.615070,-122.320460
 Mexican,Cheech and Changas,"1534 Broadway, Seattle, WA 98122",Seattle,WA,98122,King,202.422.4805,cheechnchangas@gmail.com,https://untappd.com/v/cheech-and-changas/9458464,,47.602020,-122.304660
Farmers Market,Clean Greens Farm and  Market,"124 21st Ave. Ste D Seattle, WA 98122",Seattle,WA,98122,King,206.430.8689,blackdollarcleangreens@gmail.com,https://www.cleangreensfarm.net/,,47.552060,-122.326370
Sandwich Shop,Conscious Eatery,"5620 6th Ave S, Seattle, WA 98108",Seattle,WA,98108,King,206.799.3650,info@consciouseatery.org,http://consciouseatery.org/,,47.542100,-122.283850
Mexican,Corte Fino,"6721 Martin Luther King Jr Way S, Seattle, WA 98118",Seattle,WA,98118,King,206.665.9672,cortefino206@gmail.com,https://www.facebook.com/cortefino206/,,47.550970,-122.277880
Ethiopian,Delish Ethiopian Cuisine ,"5701 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,King,206.723.3821,delish86@gmail.com,http://delishethiopianfood.com/,,47.519830,-122.261930
American,Drae's Lake Route Eatery,"9261 57th Ave S, Seattle, WA 98118",Seattle,WA,98118,King,206.722.9464,,https://www.facebook.com/Draeslakeroute/,,47.599940,-122.301640
Ethiopian,East African Imports& Restaurant ,"306 23rd Ave S Ste 104 Seattle, WA 98144",Seattle,WA,98144,King,206.322.7717,eastafricanimports@gmail.com,https://eastafricanimports.com/,,47.570020,-122.290510
Seafood,Emerald City Fish & Chips,"3756 Rainier Ave S, Seattle, WA 98144",Seattle,WA,98144,King,206.760.3474,emeraldcityfishco@gmail.com,http://www.emeraldcityfishandchips.com/,,47.553540,-122.280370
Barbecue,Emma's BBQ,"5303 Rainier Avenue S. Suite B,, Seattle, WA 98118",Seattle,WA,98118,King,206.413.1523,,https://www.facebook.com/emmasbbq1/,,47.713530,-122.312200
Ethiopian,Enat Ethiopian Restaurant ,"11546 15th Ave NE. Seattle, WA 98125",Seattle,WA,98125,King,206.362.4901,esouk@hotmail.com,https://m.facebook.com/EnatEthiopianRestaurant/,,,
,Ezell's Famous Chicken,,Seattle,WA,,King,,,https://ezellschicken.com/,,47.705610,-122.355770
Cuban,Geo's Cuban Bar & Grill,"10515 Greenwood Ave N Seattle, WA 98133",Seattle,WA,98133,King,206.457.5278,GeosCubanToGo@gmail.com,https://geosbarandgrill.com/,,47.732840,-122.291950
American,Heaven Sent Fried Chicken,"14330 Lake City Way NE. Seattle, WA 98125",Seattle,WA,98125,King, 206.363.1167,,https://www.heavensentfriedchicken.com/,,47.558090,-122.285520
Island Soul,Island Soul Rum Bar & Soul Shack,"4869 Rainier Ave S Seattle, WA 98118",Seattle,WA,98118,King,206.329.1202,info@islandsoulrestaurant.com,https://www.islandsoulrestaurant.com/,,47.714150,-122.311940
Coffee Shop,Jebena Café ,"1510 NE 117th St, Seattle, WA 98125",Seattle,WA,98125,King,206.365.0757,,https://jebenacafe.com/,,47.612790,-122.296560
Spanish,Joyce's Market And Café,"2717 E. Union Street, Seattle, WA 98122",Seattle,WA,98122,King,206.322.9140,joycesmarketandcafe@gmail.com,https://www.facebook.com/pg/JoycesMarketandCafe/about/?ref=page_internal,,47.615150,-122.348910
Caribbean,Jerk Shack ,"2510 1st Ave. Seattle, WA 98121",Seattle,WA,98121,King,206.441.7817,jerkshackseattle@gmail.com,https://jerkshackseattle.com/,,47.564290,-122.377750
American,Jones Barbeque,"4417 Fauntleroy Way SW, Seattle, WA 98126",Seattle,WA,98126,King,206.739.6169,jonesbarbeque1@gmail.com,https://www.jonesbarbeque.com/,,47.556110,-122.283180
Eritrean & Ehtiopian,Kezira Eritrean and Ethiopian Cuisine,"5100 Rainier Ave S, Seattle WA 98118",Seattle,WA,98118,King,206.588.1024,,https://keziracaffe.com/,,47.532030,-122.269580
Sandwich Shop,King Philly Cheesesteaks,"7820 Rainier Ave S Seattle, WA 98118",Seattle,WA,98118,King,206.722.2434,,http://kingphillycheesesteaksseattle2.cafecityguide.website/#location,,47.557680,-122.285240
Senegalese,La Teranga,"4903 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,King,206.725.1188,lateranga@hotmail.com,https://www.facebook.com/LaTerranga,,47.564920,-122.288780
Catering/American,Lil Red Takeout & Catering,"4225 Rainier Ave South, Seattle, WA 98118",Seattle,WA,98118,King,206.760.2931,,https://lilredtakeout.com/,,47.675910,-122.304200
Bar,Lucinda Grain Bar,"2120 NE 65th St. Seattle, WA 98115",Seattle,WA,98115,King,,,https://www.lucindaseattle.com/,,47.529420,-122.269400
Somalian,Mama Sambusa's Small Kitchen ,"8300 Wabash Ave S, Seattle, WA 98118",Seattle,WA,98118,King,206.356.2911,sales@mamasambusakitchen.com,https://www.yelp.com/biz/mama-sambusa-s-small-kitchen-seattle-3,,47.613290,-122.313510
New American,Marjorie ,"1412 E Union St. Seattle, WA 98122",Seattle,WA,98122,King,206.441.9842,info@marjorierestaurant.com,https://marjorierestaurant.com/,,47.607770,-122.298650
Ethiopian,Meskel Ehtiopian Restaurant,"2605 E. Cherry St. Seattle, WA 98122",Seattle,WA,98122,King,206.860.1724,alemufam@gmail.com,https://meskelethiopian.com/,,47.574250,-122.321370
Ethiopian,Mety's Events(catering),"3250 Airport Way South Suite 223,  Seattle, WA 98134",Seattle,WA,98134,King,206.696.2972,info@metysevents.com,https://www.metysevents.com/contact,,47.684510,-122.315980
Latin American & Cuban,Mojito,"7545 Lake City Way NE. Seattle, WA 98115",Seattle,WA,98115,King,206.525.3162,info@mojitoseattle.com,https://www.mojitoseattle.com/,,47.558680,-122.292200
Ethiopian,Momona Café & Restaurant,"6754 Martin Luther King Jr S Seattle, WA 98108",Seattle,WA,98108,King,206.766.0607,,https://momonacafeandrestaurant.netwaiter.com/seattle/about/,,47.606330,-122.315640
Chicken Joint,Nate's Wings & Waffles,"1224 E Jefferson St Seattle, WA 98122",Seattle,WA,98122,King,206.629.2051,nateswingsandwaffles@gmail.com,https://natesww.com/,,47.613770,-122.317030
Italien,Osteria La Spiga,"1429 12th Ave. Suite A Seattle, WA 98122",Seattle,WA,98122,King,206.323.8881,hello@laspiga.com,https://www.laspiga.com/,,47.661150,-122.336630
Caribbean,Pam's Kitchen,"1715 N 45th St. Seattle, WA 98103",Seattle,WA,98103,King,206.696.7010,pamskitchen@gmail.com,https://pams-kitchen.com/,,47.613630,-122.316910
Vegan American ,Plum Chopped,"1419 12th Ave. Seattle, WA 98122",Seattle,WA,98122,King,206.838.5333,,https://plumbistro.com/#chopped,,47.621500,-122.349550
Vegan American ,Plum Pantry,"305 Harrison St. Seattle, WA 98109",Seattle,WA,98109,King,206.684.7200,,https://plumbistro.com/#pantry,,47.620110,-122.320110
Ethiopian,Queen Sheba Ehtiopian,"916 E John St. Seattle, WA 98102",Seattle,WA,98102,King,206.322.0852,info@queenshebaeattle.com,https://www.facebook.com/queenshebaseattle/,,47.599420,-122.297810
Convenience Store,Quick Pack Food Mart," 2616 S Jackson St. Seattle, WA 98144",Seattle,WA,98144,King,206.328.2127,,https://www.facebook.com/pages/category/Grocery-Store/Quick-Pack-139857412801691/,,47.607760,-122.295670
Ethiopian,Ras Dashen Ehtiopian Cuisine,"2801 E Cherry St. Seattle, WA 98122",Seattle,WA,98122,King,206.709.7626,,https://rasdashenseattle.com/,,47.634000,-122.280240
Ice Cream Shop,Scoop Du Jour Ice Creamery,"4029 E Madison St, Seattle, WA 98112",Seattle,WA,98112,King,206.325.9562,,https://www.facebook.com/pages/Scoop-Du-Jour-Ice-Creamery/111578165543941,,47.601600,-122.304970
Chicken Joint,Seattle Chicken Express ,"3621 33rd Ave S Ste C5 Seattle, WA 98144",Seattle,WA,98144,King,206.708.7417,,http://chickenexpressseattle2.cafecityguide.website/,,47.635830,-122.278470
Soul Food,Simply Soulful,"2909-B E Madison Ave. Seattle, WA 98112",Seattle,WA,98112,King,206.474.9841,info@simply-soulful.com,https://www.simplysoulfulcafe.com/,,47.601850,-122.308650
Soul Food,Soulful Dishes,"1800 East Yesler Way, Seattle, WA 98122",Seattle,WA,98122,King,206.485.7123,info@soulfuldishes.net,http://www.soulfuldishes.net/,,47.811060,-122.382910
Seafood,Spud Fish & Chips ,"174 Sunset Ave South Edmonds, WA 98020",Edmonds,WA,98020,King,425.678.0984,,https://www.spudgreenlakewa.com/#/,,47.606420,-122.315990
Caribbean,Taste of the Caribbean,"1212 E Jefferson St. Seattle, WA 98122",Seattle,WA,98102,King,206.323.9112,tasteofthecaribbean.206@gmail.com,http://www.tasteofthecaribbeanseattle.com/,,47.556550,-122.283780
American,The Comfort Zone ,"5016 Rainier Ave S Seattle, WA 98118",Seattle,WA,98118,King,206.246.2800,hello@thecomfortzonesoulfood.com,https://thecomfortzonesoulfood.com/,,47.601930,-122.308220
Barbecue,The Barbeque Pit ,"1816 E Yesler Way, Seattle, WA 98122",Seattle,WA,98122,King,206.325.3205,,https://www.facebook.com/thebarbequepitseattle/,,47.576240,-122.297080
American,The Orginal Pilly's ,"3019 Martin Luther King Jr Way S, Seattle,  WA 98144",Seattle,WA,98144,King,206.723.7445,theoriginalphillys@gmail.com,https://www.facebook.com/The-Original-Phillys-213205934626/,,47.564700,-122.292200
,The Sugah Shack," 4152 Renton Ave S, Seattle, WA 98108",Seattle,WA,98108,King,253.470.8157,sugahpushah@gmail.com,https://www.facebook.com/Mysugahshack/,,47.529810,-122.264160
Japanese,Umami Kushi,"Seward Park Ave unit 1 &2. Seattle, Washington Seward Park Ave unit 1 &2. Seattle, Washington 98118",Seattle,WA,98118,King,206.723.1887,umamikushi@me.com,http://umamikushi.com/,,47.521200,-122.366400
Chicken Joint,WingStop,"2600 SW Barton St. Seattle, WA 98126",Seattle,WA,98126,King,,,https://www.wingstop.com/washington,,47.702230,-122.344050
Chicken Joint,WingStop,"10002 Aurora Ave N, Seattle, WA 98133",Seattle,WA,98133,King,,,https://www.wingstop.com/washington,,47.574730,-122.295030
Chicken Joint,WingStop,"3208 Rainier Ave S #101, Seattle, WA 98144",Seattle,WA,98144,King,,,https://www.wingstop.com/washington,,47.532830,-122.270410
Ethiopian,Yusrah and Sabah Restaurant,"7729 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,King,206.723.3820,,https://www.facebook.com/Yusra-and-Sabah-restaurant-627796274273844/,,47.608130,-122.296590
Ethiopian,Zagol Ehtiopian Restaurant," 2722 E Cherry St, Seattle, WA 98122",Seattle,WA,98122,King,206.322.1019,,https://www.facebook.com/pages/Zagol-Ethiopian-Restaurant/233109804155535,,47.605980,-122.315930
Ethiopian,Zobel Ehtiopian Cuisine,"1219 E Jefferson St. Seattle, WA 98122",Seattle,WA,98122,King,206.323.1408,enanakassa@gmail.com,https://www.zobelseattle.com/,,47.574480,-122.296410
Dessert Shop,Baked from the Hart,"2801 S Hanford St, Seattle, WA 98144",Seattle,WA,98144,King,206.650.9191,bakedfromthehart@gmail.com,https://bakedfromthehart.com/,,47.668950,-122.384310
Brewery,Ballard Beer Company ,"2050 NW Market St, Seattle, WA 98107",Seattle,WA,98107,King,206.783.0179,info@ballardbeercompany.com,http://www.ballardbeercompany.com/,,47.650970,-122.349490
Bakery,Bell's Pastries,"3518 Fremont Ave N, Seattle, WA 98103",Seattle,WA,98103,King,520.370.0646,jasmin@bellspastries.com,http://www.bellspastries.com/#home,,47.599860,-122.302960
Bakery,Brown sugar Baking Company ,"308 22nd Ave S Ste 101 Seattle, WA 98144",Seattle,WA,98144,King,202.558.8422,brownsugarbaking@live.com,https://brownsugarbakingcompany.com/,,47.542610,-122.272630
Coffee Shop,Café Avole,"6630 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,King,206.359.1271,avolecoffee@gmail.com,https://www.facebook.com/cafeavole/,,47.565520,-122.288200
Bakery,Clockwork Counter Bakery,"4200 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,King,,,https://www.facebook.com/pg/clockworkcounterbakery/about/?ref=page_internal,,47.612760,-122.300280
Coffee Shop,Cortona Café,"2425 E Union St, Seattle, WA 98122",Seattle,WA,98122,King,206-941-6267,,http://cortonacafe.com/,,47.617880,-122.341620
Wholesale store,Downtown Spirits ,"2300 7th Avenue, Seattle, WA 98121",Seattle,WA,98121,King,206.812.6591,isolynnd@gmail.com,https://www.downtownspirits.com/,,47.613570,-122.315920
Winery,Footprint Wine Tap,"1222 E Madison St. Seattle, WA 98122",Seattle,WA,98122,King,206.485.7175,info@footprintwine.com,https://footprintwine.com/,,47.580360,-122.312770
Donut Shop,Healthy Creations," 2524 Beacon Ave S. Seattle, WA 98144",Seattle,WA,98144,King,206.708.6871,info@musangseattle.com,https://www.healthycreationsseattle.com/,,47.561830,-122.376570
Hot Chocolat,Hot Chocolat,"4611 36 Ave SW,Seattle, WA  98126",Seattle,WA,98126,King,(206) 714-0179,info@hotchocolat.net,https://hotchocolat.net/,,47.529880,-122.269710
Coffee Shop,Kaffa Coffee&Wine Bar,"8136 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,King,206.453.3558,kaffaseattle@gmail.com,https://kaffafoods.com/,,47.615430,-122.313720
Wine Bar,Poco Wine + Spirits,"1408 Pine St Steatttle, WA 98122",Seattle,WA,98122,King,206.322.9463,info@pocowineandspirits.com,http://www.pocowineandspirits.com/,,47.61543,-122.31372
Bar,Still Liquor,"1524 Minor Ave. Seattle, WA 98101",Seattle,WA,98101,King,206.467.4075,info@stillliquor.com,https://www.stillliquor.com/,,47.61465,-122.30164
,That Brown Girl Cooks!,"2350 E Union St. Seattle, WA 98122",Seattle,WA,98122,King,206.391.8140,Goodday@communionseattle.com <Goodday@communionseattle.com>;,http://www.thatbrowngirl.com/,,47.61312,-122.30164
Bar,The Rhino Room,"1535 11th Ave. Seattle, WA 98122",Seattle,WA,98122,King,206.258.3900,,https://www.facebook.com/rhinoroomsea/,,47.61499,-122.31821
Coffee Shop,The Station,"2535 16th Ave S, Seattle, WA 98144",Seattle,WA,98144,King,206.931.1357,thestationcoffeeshop@gmail.com,https://www.thestationbh.com/,,47.57997,-122.3122
Coffee Shop,Tougo Coffee Co.,"860 E Yesler Way, Seattle, WA 98104",Seattle,WA,98104,King,206.467.5042,tougocoffee@gmail.com,https://www.tougocoffee.com/,,47.6017,-122.31836
Sports Bar,Wonder Coffee & Sports Bar,"1800 S Jackson St. Seattle, WA 98144",Seattle,WA,98144,King,206.538.0044,gary@famcosoft.com,https://www.wondersportbar.com/,,47.59967,-122.30831
Soul Food,Serious Soul At Cubby's ,"805 Auburn Way S Auburn, WA 98002",Auburn,WA,98002,King,253.833.9692,,https://serious-soul-at-cubbys.hub.biz/?fbclid=IwAR2sBcPc7ZGSqqCMkUlyAo8nNUtWGRpUbCCb7WvqyZYDjDwpzdc2X7QJ0bk,,47.30019,-122.22466
Catering,Thyme Well Spent,"3101 Auburn Way South, Auburn, WA, 98092",Auburn,WA,98092,King,253.205.9660,thymewellspentinfo@gmail.com,https://www.thymewellspentinc.com/,,47.2873,-122.18823
Food Wholesaler,Cleo's Kitchen,"11215 NE State Highway 104, Kingston, WA 98346 ",Kingston,WA,98346,King,27832927941,cleotweeter@gmail.com,https://www.instagram.com/chefcleoskitchen/,,47.79801,-122.49777
Chicken Joint,Ezell's Famous Chicken,"1645 140th Ave NE, Bellevue, WA 98005",Bellevue,WA,98005,King,425.643.2670,,https://ezellschicken.com/,,47.62626,-122.15487
Chicken Joint,WingStop,"10002 Aurora Ave N, Seattle, WA 98133",Seattle,WA,98133,King,,,https://www.wingstop.com/washington,,47.70223,-122.34405
American,Carolina Smoke BBQ,"24118 Bothell Everett Hwy Bothell, WA 98021 building e100 ",Bothell,WA,98021,King,,info@carolinasmoke.com,https://www.carolinasmoke.com/,,47.77867,-122.21899
American,Classic Eats,"918 SW 152nd St. Burien, WA 98166",Burien,WA,98166,King,206.241.6275,classiceats@yahoo.com,http://www.classiceatsburien.com/,,47.46689,-122.34651
Ethiopian,Dukem Restaurant and Market,"215 SW 152nd St. Burien, WA 98166",Burien,WA,98166,King,206.453.3699,,https://www.facebook.com/pages/Dukem-Market/863458703708012,,47.4666,-122.33726
Vegan,Longevity Foods,"14701 Main Street NE, Suite A1, Duvall, WA 98019",Duvall,WA,98019,King,425.788.2332,,https://longevityfoodz.com/index.html,,47.7334,-121.98843
Ethiopian,Blue Nile Ethiopian Restaurant,"7821 Rainer Ave S Seattle, WA 98118",Seattle,WA,98118,King,206.809.8124,,https://www.facebook.com/pages/Blue-Nile-Ethiopian-Restaurant/111655322203254,,47.51681,-122.26051
Chicken Joint,Ezell's Famous Chicken,"22019 Hwy 99 #130, Edmonds, WA 98026",Edmonds,WA,98026,King,425.670.1450,,https://ezellschicken.com/,,47.79879,-122.33156
Southern ,Grandma's in da kitchen,"2831 W Marine View Dr Everett, WA 98201",Everett,WA,98201,King,425.322.4145,grandmasindakitchen@gmail.com,https://www.grandmasindakitchen.com/,,47.97957,-122.21399
Chicken Joint,Heaven Sent Fried Chicken,"14330 Lake City Way NE. Seattle, WA 98125",Seattle,WA,98125,King,206.363.1167,,https://www.heavensentfriedchicken.com/,,47.73284,-122.29195
Chicken Joint,Zoey's Friend Chicken Sandwiches & Wings,"510 W Casino Rd. Ste G Everett, WA 98204",Everett,WA,98204,King,425.374.3040,,https://www.facebook.com/Zoeys-Fried-Chicken-Sandwiches-1260659544118429/,,47.9214,-122.24113
Jamaican,A&M Jamaican Bag Juice and Beef Patty,,Seattle,WA,,King,,,https://www.facebook.com/bagjuiceandbeefpatty/,,,
Cajun,Altha's Louisiana Cajun Store & Deli,"201 E Meeker St, Kent, WA 98032",Kent,WA,98032,King,253.719.2242,cattherine.dasalla71@yahoo.com,https://althascajunspices.com/,,47.38182,-122.23201
Chicken Joint,Ezell's Famous Chicken,"25616 102nd Pl SE, Kent, WA 98030",Kent,WA,98030,King,253.854.4535,,https://ezellschicken.com/,,47.38189,-122.20423
Bakery,KJ's Cakery Bakery ,"204 Central Avenue North #102, Kent, WA 98032",Kent,WA,98032,King,253.277.2516,kathyjo@kjscakerybakery.com,https://www.kjscakerybakery.com/,,47.3826,-122.2306
Nigerian,Naija Buka,"SRS Excavating, 2145 Garrett St, Enumclaw, WA 98022",Enumclaw,WA,98022,King,,info@naijabukaseattle.com,https://naijabukaseattle.com/?fbclid=IwAR2sJYGcm3c8sKAYQYWvqkFZi0C2gCgD6AKoSdJBtNPCGH7vu_YKi7pWCl0,,47.20555,-121.98226
Southern,Nana's Southern Kitchen,"10234 Se 256th St Kent, WA 98030",Kent,WA,98030,King,253.243.6711,nanasouthernkitchen@gmail.com,https://www.facebook.com/nanassouthernkitchen/,,47.37258,-122.2042
Chicken Joint,WingStop,"321 Ramsey Way, Ste 101 Kent, WA 98032",Kent,WA,98032,King,,,https://www.wingstop.com/washington,,47.38381,-122.23503
Coffee Shop,Pinckney Cookie Café,"11251 120th Ave NE #110 Kirkland, WA 98033",Kirkland,WA,98032,King,425.283.9993,inquiry@pinckneycookiecafe.com,https://lovethesecookies.com/,,47.70111,-122.18172
Chicken Joint,WingStop,"5919 Lakewood Town Center Blvd SW Lakewood, WA 98499",Lakewood,WA,98499,King,,,,,47.16521,-122.51684
West African,Bantaba African Restaurant,"19417 36th Ave W, Lynnwood, WA 98036",Seattle,WA,98036,King,425.678.0202,,https://www.facebook.com/bantabaafricanrestaurant/,,47.82242,-122.28118
Chicken Joint,Ezell's Famous Chicken,"501 23rd Ave, Seattle, WA 98122",Seattle,WA,98122,King,,,https://ezellschicken.com/,,47.60643,-122.3031
Seafood,The Fish Box,"172 20th Ave, Seattle, WA 98122",Seattle,WA,98122,King,,seattlefishbox@gmail.com,http://thefishbox.net/,,47.6033,-122.30596
Donut Shop,Zuri's Donutz,"7600 196th St SW #850, Lynnwood, WA 98036",Lynwood,WA,98036,King,425.582.8803,zurisdonutz@gmail.com,https://www.facebook.com/zurisdonutz/,,47.82101,-122.33649
Candy Store,Sugar Hill Candy,"2593 Beaver Valley Rd, Port Ludlow, WA 98365",Port Ludlow,WA,983665,King,360.732.5000,sugarhill_confections@yahoo.com,https://www.sugarhillcandy.com/,,47.92563,-122.7308
Chicken Joint,WingStop," 4227 S Meridian Ave Seattle, WA 98103",Seattle,WA,98103,King,,,https://www.wingstop.com/washington,,47.65871,-122.33415
Coffee Shop,Boon Boona,"1223 East Cherry Street Ste. C121B, Seattle, WA 98122",Seattle,WA,98122,King,425.496.8618,,https://www.boonboonacoffee.com/,,47.60784,-122.31645
Chicken Joint,Ezell's Famous Chicken,"64 Rainier Ave S, Renton, WA 98057",Renton,WA,98057,King,,,https://ezellschicken.com/,,47.48456,-122.21593
Chicken Joint,WingStop,"804 N Landing Way, Ste A Renton, WA 98057",Tacoma,WA,98057,King,253.627.4899,,https://www.wingstop.com/washington,,47.49652,-122.20465
Barbecue,Bob's Bar-B-Q Pit ,"911 S.11th ST Tacoma, WA 98405",Tacoma,WA,98405,King,,,https://www.facebook.com/bobsbarbq/?hc_location=ufi,,47.25239,-122.44976
Coffee Shop,Campfire Coffee Co.,"3520 88th St E, Tacoma, WA 98446",Tacoma,WA,98446,King,253.468.2334,Goodies@welovecampfire.com,https://www.facebook.com/welovecampfire/?hc_location=ufi,,47.17691,-122.38146
Chicken Joint,Ezell's Famous Chicken,"1902 M.L.K. Jr Way, Tacoma, WA 98405",Seattle,WA,98405,King,,,https://ezellschicken.com/,,47.24341,-122.45011
Seafood,Fish House café ,"1814 S Martin Luther King Jr Way. Tacoma, WA 98405",Tacoma,WA,98405,King,253.383.7144,,https://www.facebook.com/pages/The-Fish-House-Cafe/116689678354627?hc_location=ufi,,47.24422,-122.45019
Salad,Garden's Gourmet Salads,"1623 E 72nd St Suite 300, Tacoma, WA 98404",Seattle,WA,98404,King,253.433.3736,gardens@gardensgourmet.com,https://www.facebook.com/Gardens.Gourmet/?hc_location=ufi,,47.19231,-122.4067
Soul Food,HamHock Jones Soul Shack,"6101 steilacoom blvd sw, Lakewood, WA 98499",Lakewood,WA,98499,King,253.888.7600,hamhockjonesbbq@gmail.com,https://www.facebook.com/hamhockjonesbbq/?hc_location=ufi,,47.1769,-122.51849
Deli,Melon Seed Deli & Frozen Myogurt,"3807 Center St Ste D, Tacoma, WA 98409",Tacoma,WA,98409,King,253.279.0029,melonseed_deli@hotmail.com,https://www.facebook.com/TheMelonSeed/?hc_location=ufi,,47.23164,-122.48659
Tea Room,Olive Branch Café,"2501 E D St. Tacoma, WA 98421",Tacoma,WA,98421,King,253.961.7600,,https://www.facebook.com/OliveBranchCafe/?hc_location=ufi,,47.23954,-122.42838
